id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url,nutritional_info
2472,Pescado,Sepia faraónica troceada limpia Hacendado congelada,Paquete 360 g escurrido,"5,00 €",,https://prod-mercadona.imgix.net/images/6030d5a8702a32ce6d75e12d5e233c7d.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/c9e19e4aba0cb083c895580440fd6ddd.jpg?fit=crop&h=600&w=600,"Sepia faraónica troceada limpia Hacendado congelada, Paquete, 360 Gramos escurrido, 5,00€ por Unidad"
1043,Huevos,Huevos grandes L,Paquete 6 ud.,"1,50 €",,https://prod-mercadona.imgix.net/images/46ee35a145ca8f1985b9819a3e3fffb7.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/8eb59ea4046d9f3bb5193fea369f15a4.jpg?fit=crop&h=600&w=600,"Huevos grandes L, Paquete, 6 Unidades, 1,50€ por Unidad"
3266,Licores,Brandy de Jerez solera reserva Convidado de Baco,Botella 700 ml,"6,20 €",,https://prod-mercadona.imgix.net/images/d2d640eae5ddb20710cbd569d4af3560.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/dfe92c10651093d1f70037fed569e9a0.jpg?fit=crop&h=600&w=600,"Brandy de Jerez solera reserva Convidado de Baco, Botella, 700 Mililitros, 6,20€ por Unidad"
3505,Higiene íntima,Compresa sin alas de incontinencia Deliplus Mini,Paquete 30 ud.,"3,35 €",,https://prod-mercadona.imgix.net/images/4dc769e16da14687bea4b573dc99f765.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/b17198165d670de47ee47c3cc88eeecb.jpg?fit=crop&h=600&w=600,"Compresa sin alas de incontinencia Deliplus Mini, Paquete, 30 Unidades, 3,35€ por Unidad"
1433,Galletas,Galletas rellenas de chocolate Hacendado 0% azúcares añadidos,Paquete 250 g,"1,40 €",,https://prod-mercadona.imgix.net/images/cd9fccc304c39bfe038f69a1890ef243.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/78a0eedcfd69b5312ed302139cdba2dd.jpg?fit=crop&h=600&w=600,"Galletas rellenas de chocolate Hacendado 0% azúcares añadidos, Paquete, 250 Gramos, 1,40€ por Unidad"
539,Aves y jamón cocido,Jamón de pavo Hacendado,Pieza 500 g,"2,70 €",,https://prod-mercadona.imgix.net/images/0a4b8f824e5ea4032abcee4e75a9092a.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/fdd58c72ddb567a15aa78931d8b37f65.jpg?fit=crop&h=600&w=600,"Jamón de pavo Hacendado, Pieza, 500 Gramos, 2,70€ por Unidad"
4582,Menaje y conservación de alimentos,Vaso pequeño Bosque Verde apto para bebida caliente,Paquete 20 ud.,"1,35 €",,https://prod-mercadona.imgix.net/images/4236813a2b75331346d4af878b2a9733.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/8494efd575d252310ddcd3ef75d2e8cb.jpg?fit=crop&h=600&w=600,"Vaso pequeño Bosque Verde apto para bebida caliente, Paquete, 20 Unidades, 1,35€ por Unidad"
2648,Platos preparados calientes,Carne de cerdo Pulled Pork Hacendado sabor barbacoa,Bandeja 200 g,"2,50 €","2,50 €",https://prod-mercadona.imgix.net/images/c80d9eb6fe4f009da40a8ec5c6cfe13d.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/06af8c4b1d1782bb5a7e21bbee2bea7b.jpg?fit=crop&h=600&w=600,"Carne de cerdo Pulled Pork Hacendado sabor barbacoa, Bandeja, 200 Gramos, Precio anterior: 2,50€ por Unidad, Precio actual: 2,25€ por Unidad"
1222,Café soluble y otras bebidas,Café con leche cappuccino Hacendado,Vaso 250 ml,"0,75 €",,https://prod-mercadona.imgix.net/images/f71077f44842e60a701a74c15a390d44.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/2df8e8d5beda7c0a1d2ee14e46b62956.jpg?fit=crop&h=600&w=600,"Café con leche cappuccino Hacendado, Vaso, 250 Mililitros, 0,75€ por Unidad"
2814,Agua,Agua mineral grande Bronchales,Garrafa 6 L,"1,28 €",,https://prod-mercadona.imgix.net/images/66cc0d02f8e7c1ae6820ce725f05e80d.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/2d815f65ac5225b7a5b187c70c712ca1.jpg?fit=crop&h=600&w=600,"Agua mineral grande Bronchales, Garrafa, 6 Litros, 1,28€ por Unidad"
3124,Cerveza,Cerveza Radler Steinburg con zumo natural de limón,12 latas x 330 ml,"4,92 €",,https://prod-mercadona.imgix.net/images/8d2de40a6c7770e50827fa5994b67969.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/7a252743fabd0be0be02a86246a83247.jpg?fit=crop&h=600&w=600,"Cerveza Radler Steinburg con zumo natural de limón, 12 latas x 330 Mililitros, 4,92€ por Pack"
2553,Frutos secos y fruta desecada,Pasas moscatel sin semillas Hacendado,Paquete 250 g,"2,20 €",,https://prod-mercadona.imgix.net/images/43cb5b2b51525f9a1ca7ed04c2fd5d5e.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/277bb7235d2e32b193dd94b2edb858a3.jpg?fit=crop&h=600&w=600,"Pasas moscatel sin semillas Hacendado, Paquete, 250 Gramos, 2,20€ por Unidad"
1489,Fruta variada,Fruta + leche caribe Hacendado sin azúcares añadidos,6 mini bricks x 200 ml,"1,20 €",,https://prod-mercadona.imgix.net/images/ca90bf3b0851cee384f4c7ee51a97f29.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/38fd68d68b0a2d8a1a76a43044f7e898.jpg?fit=crop&h=600&w=600,"Fruta + leche caribe Hacendado sin azúcares añadidos, 6 mini bricks x 200 Mililitros, 1,20€ por Pack"
4428,Coloración cabello,Coloración permanente 7.43 cobre cálido Colorcor,Caja 1 ud.,"3,90 €",,https://prod-mercadona.imgix.net/images/e79020481b9158d85e1268ba536a3597.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/06bf89de22a69dd19d8484b20c68e347.jpg?fit=crop&h=600&w=600,"Coloración permanente 7.43 cobre cálido Colorcor, Caja, 1 Unidad, 3,90€ por Unidad"
1393,Golosinas,Golosinas Mix con pica Hacendado,Paquete 300 g,"1,60 €",,https://prod-mercadona.imgix.net/images/7ee132e6de921d3dfe391a730449af49.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/a0e3bea2a0324544661dac447cdb757b.jpg?fit=crop&h=600&w=600,"Golosinas Mix con pica Hacendado, Paquete, 300 Gramos, 1,60€ por Unidad"
415,Fruta,Papaya,Pieza 620 g aprox.,"3,07 €",,https://prod-mercadona.imgix.net/images/a86ce649430ad9663aabf144d9a9f2fc.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/1dc7142d6c10a59ac6899d85d3117bdc.jpg?fit=crop&h=600&w=600,"Papaya, Pieza, 620 Gramos aprox., 3,07€ por Unidad"
1470,Yogures desnatados,Postre lácteo con fruta Hacendado 0% m.g 0% sin azúcares añadidos,8 ud. x 125 g,"2,00 €",,https://prod-mercadona.imgix.net/images/01ef76f0c2b6dbdf1c6ccf8384805fdf.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/559d8f356109470c3bc35551fa595056.jpg?fit=crop&h=600&w=600,"Postre lácteo con fruta Hacendado 0% m.g 0% sin azúcares añadidos, 8 Unidades x 125 Gramos, 2,00€ por Pack"
1130,Mantequilla y margarina,Crema de soja Hacendado,Brick 200 ml,"1,10 €",,https://prod-mercadona.imgix.net/images/6c9d1454ee4e642fc922098307da399a.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/24abd6c62a86acb7e6f932d6b5c84b33.jpg?fit=crop&h=600&w=600,"Crema de soja Hacendado, Brick, 200 Mililitros, 1,10€ por Unidad"
4334,Detergente y suavizante ropa,Suavizante ropa Azul Bosque Verde concentrado,"Botella 80 lavados (1,6 L)","1,80 €",,https://prod-mercadona.imgix.net/images/7ba82fe12606fbea55210671392285d5.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/04de34110d4667bcd430e2c0aae14c58.jpg?fit=crop&h=600&w=600,"Suavizante ropa Azul Bosque Verde concentrado, Botella, 80 lavados (1,6 L), 1,80€ por Unidad"
